title,price,comments,details_urls,shoop
新疆无核大红枣 去核干大枣即食免洗干果蜜饯果干小零食网红奶枣专用夹大杏仁巴旦木原料烘焙 新疆去核大枣500g,13.80,100,https://item.m.jd.com/product/10024747461997.html?_fd=jdm&amp;price=13.80&amp;fs=1,北爱亿达食品专营店
豆乐奇 新疆特产土耳其大黑杏干甜杏干杏脯无核杏肉 500g,46.80,0,https://item.m.jd.com/product/66917611488.html?_fd=jdm&amp;price=46.80&amp;fs=1,良可优品食品专营店
山西特产休闲零食杏肉杏条阳高杏脯500g×3袋无核新疆杏干条 1袋偏甜1袋酸甜,63.00,100,https://item.m.jd.com/product/69885885449.html?_fd=jdm&amp;price=63.00&amp;fs=1,好味铺园艺专营店
新疆红杏干无核500g杏仁果脯罐装酸甜杏儿肉蜜饯零食小吃 新货袋装红杏干250g尝鲜,22.00,7,https://item.m.jd.com/product/10036179393176.html?_fd=jdm&amp;price=22.00&amp;fs=1,格诗休闲食品专营店
二杠头奶酪枣夹杏仁奶枣网红抖音炒奶枣炒货巴旦木夹心奶酪新疆红枣零食 奶酪枣【原味不夹心款】 500g独立包装,17.60,17,https://item.m.jd.com/product/10034361587359.html?_fd=jdm&amp;price=17.60&amp;fs=1,西月超方便食品专营店
神恋 新疆英吉沙杏干 天然不加糖风干水果干零食蜜饯果脯特产 200g罐装,25.90,13,https://item.m.jd.com/product/10034191373093.html?_fd=jdm&amp;price=25.90&amp;fs=1,田间口袋食品旗舰店
新疆红杏干500g大片杏脯杏肉儿童孕妇零食休闲小吃蜜饯果干水果脯蔬果干 杏干500g罐装,28.80,100,https://item.m.jd.com/product/10032467543452.html?_fd=jdm&amp;price=28.80&amp;fs=1,镇参崖·通化特产馆
新疆特产新货杏干无添加无蔗休闲零食2021特级树上吊干杏免洗即食 新疆吊干杏250克*2袋(1斤原生态新货尝鲜),80.50,0,https://item.m.jd.com/product/10040112356460.html?_fd=jdm&amp;price=80.50&amp;fs=1,福香羽食品专营店
吊干杏干新疆新货杏脯树上干杏天然新鲜杏干厚肉 阿克苏吊干杏2斤,108.00,100,https://item.m.jd.com/product/56452218983.html?_fd=jdm&amp;price=108.00&amp;fs=1,空间之锋农资专营店
杏干500g吊干杏脯新疆树上干红杏子肉蜜饯果脯酸甜零食 精品杏干250克X2袋,38.00,6,https://item.m.jd.com/product/10036226614207.html?_fd=jdm&amp;price=38.00&amp;fs=1,格诗休闲食品专营店
