标题,图片链接,详情页,价格,运费,所在地,销量,评论数,店铺名称,标识
新疆直邮特大无添加天然黑杏干土耳其杏干树上无核杏脯杏肉500g,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1577699827/O1CN01uGUhay2MSor6jU2a9_!!1577699827.png,https://item.taobao.com/item.htm?id\u003d609074510518\u0026ns\u003d1\u0026abbucket\u003d16#detail,61.50,0.00,新疆吐鲁番,400+,6086,a306006417,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
新疆红杏干杏脯500g吊干杏杏肉树上酸杏子孕妇零食水果干果脯蜜饯,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2207547934781/O1CN019D1oxs1lBkDFXjaaT_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d627104420050\u0026ns\u003d1\u0026abbucket\u003d16,15.80,999.00,浙江杭州,400+,2561,签果旗舰店,['尚天猫，就购了']
杏干偏酸无核红杏子干添加天然糖500g非新疆杏肉杏脯孕妇零食果脯,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2949829967/O1CN01ywoCES2NUwHMxgWGl_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d649389867428\u0026ns\u003d1\u0026abbucket\u003d16,12.80,20.00,山西太原,400+,462,问君旗舰店,['尚天猫，就购了']
无核红杏干果脯新疆金杏肉酸杏脯添加天然树上吊干杏果干蜜饯零食,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2212019278232/O1CN01IH1GMX2AgJ7xin4yl_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d650510109116\u0026ns\u003d1\u0026abbucket\u003d16,17.80,99.00,浙江杭州,400+,479,柒小胖旗舰店,['尚天猫，就购了']
【包邮】新边界土耳其杏干红杏脯杏肉果脯天然无酸新疆吊杏干添加,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/6000000008109/O1CN01D8mlCm29lyQK04XnV_!!6000000008109-0-picassoopen.jpg,https://detail.tmall.com/item.htm?id\u003d650644763820\u0026ns\u003d1\u0026abbucket\u003d16,39.90,5.00,上海,400+,312,天猫超市,['尚天猫，就购了']
新疆杏干2斤杏脯吊干无红杏干添加天然酸甜杏仁果干杏肉蜜饯零食,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2200631394210/O1CN01dXHoVz1gyE9PZaD7G_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d658164153068\u0026ns\u003d1\u0026abbucket\u003d16,15.80,0.00,陕西西安,400+,259,哆哆瞄旗舰店,"['尚天猫，就购了', '当季新品']"
新疆吊死干杏干500g无添加天然无糖特级树上干杏伊犁四团2021新货,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/696518549/O1CN01z4PsI52D1UemXVZeH_!!696518549.jpg,https://item.taobao.com/item.htm?id\u003d632822479798\u0026ns\u003d1\u0026abbucket\u003d16#detail,29.00,0.00,新疆乌鲁木齐,400+,2116,快乐的小吖伟,"['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心', '公益宝贝']"
山西特产休闲零食杏肉杏条阳高杏脯500g×3袋无核新疆杏干无添加,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2484296950/O1CN0121D97GzeftxIHa4_!!2484296950.jpg,https://item.taobao.com/item.htm?id\u003d545389602495\u0026ns\u003d1\u0026abbucket\u003d16#detail,35.10,45.00,山西大同,400+,2067,山西阳高特产店,"['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心', '公益宝贝']"
土耳其杏干无核大杏脯新疆特产黑杏干500g天然无添加孕妇零食干果,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2502405121/O1CN01vVPGJV1nhSxQ8Ii5Z_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d590267040669\u0026ns\u003d1\u0026abbucket\u003d16,19.90,100.00,湖北武汉,400+,1388,瓜慕香看旗舰店,['尚天猫，就购了']
小小的我新疆甜杏肉100g孕妇零食杏干果干果脯天然无添加无核酸甜,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2211340469078/O1CN01tZUOhH2GvmD2o5S80_!!2211340469078.jpg,https://detail.tmall.com/item.htm?id\u003d651793650271\u0026ns\u003d1\u0026abbucket\u003d16,19.90,18.00,江苏常州,300+,240,小小的我旗舰店,['尚天猫，就购了']
