raw_title,detail_url,view_price,view_fee,item_loc,view_sales,comment_count,user_id,nick,icon,comment_url,shopLink,shopcard.isTmall
吊干杏干500g杏脯非新疆杏肉干无红杏干添加蜜饯酸甜果干天然零食,//detail.tmall.com/item.htm?id=661954101209&ns=1&abbucket=10,31.89,0.0,四川 自贡,0,,2207348707413,鲜忙旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=661954101209&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207348707413,True
新疆特产黄杏脯黑杏脯500g杏肉干无核无添加零食酸甜果干蜜饯天然,//detail.tmall.com/item.htm?id=661882917237&ns=1&abbucket=10,43.95,0.0,四川 自贡,0,,2207348707413,鲜忙旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=661882917237&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207348707413,True
无核杏干果脯杏肉杏脯红杏干非零食吊干添加新疆天然蜜饯酸果干,//detail.tmall.com/item.htm?id=661864745831&ns=1&abbucket=10,34.64,0.0,四川 自贡,0,,2207348707413,鲜忙旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=661864745831&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207348707413,True
新疆特产酸甜黄杏脯无核杏肉肉厚土耳其大杏干,//detail.tmall.com/item.htm?id=661518748783&ns=1&abbucket=10,78.17,0.0,四川 自贡,0,,2207348707413,鲜忙旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=661518748783&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207348707413,True
新疆伊犁61团树上干杏吊死干杏干自然晒干500克特级杏脯农家新货,//detail.tmall.com/item.htm?id=632599404153&ns=1&abbucket=10,29.85,0.0,新疆 伊犁,0,,2207371577732,御派熊旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=632599404153&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207371577732,True
大促吊干杏干500g杏脯非新疆杏肉干红杏干酸甜果干蜜饯,//item.taobao.com/item.htm?id=657284972209&ns=1&abbucket=10#detail,17.99,60.0,安徽 芜湖,0,,2210166756961,jlj1361,[],//item.taobao.com/item.htm?id=657284972209&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2210166756961,False
新疆红杏干无核杏仁500g罐装酸甜杏儿肉蜜饯果脯孕妇儿童零食小吃,//item.taobao.com/item.htm?id=656060165679&ns=1&abbucket=10#detail,19.9,20.0,安徽 芜湖,0,1.0,1839219676,zhousaiying88,['公益宝贝'],//item.taobao.com/item.htm?id=656060165679&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=1839219676,False
土耳其风味杏干500g树上天然吊干杏脯无核新疆特产零食小吃散装,//item.taobao.com/item.htm?id=657342105502&ns=1&abbucket=10#detail,22.8,50.0,湖北 武汉,0,6.0,719593385,崽崽镜,[],//item.taobao.com/item.htm?id=657342105502&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=719593385,False
甘肃敦煌李光杏干西北新疆特产原味干果自然干制休闲小吃300g,//item.taobao.com/item.htm?id=617360751827&ns=1&abbucket=10#detail,20.0,18.0,甘肃 酒泉,0,11.0,2207416664218,蜜阳光2020,[],//item.taobao.com/item.htm?id=617360751827&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207416664218,False
新疆2021新货特级库车小白杏干超甜无添加树上杏干吊死干无糖,//item.taobao.com/item.htm?id=657015425532&ns=1&abbucket=10#detail,11.6,999.0,北京,0,,2212695077059,晓艺食品企业店,[],//item.taobao.com/item.htm?id=657015425532&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2212695077059,False
杏干无添加天然杏脯干杏肉干无糖新疆吊杏干500克土耳其大黑杏干,//detail.tmall.com/item.htm?id=632236486487&ns=1&abbucket=10,26.9,0.0,新疆 乌鲁木齐,0,1.0,2208978458507,环健旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=632236486487&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2208978458507,True
新疆特产 杏干英吉沙甜杏肉杏脯杏干 孕妇零食天然无添加膳食纤维,//item.taobao.com/item.htm?id=621701689169&ns=1&abbucket=10#detail,35.8,99.0,新疆 喀什,0,,2207947252711,真的有料2015,[],//item.taobao.com/item.htm?id=621701689169&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207947252711,False
山西特产休闲零食杏肉杏条阳高杏脯500g×3袋低核新疆杏干,//detail.tmall.com/item.htm?id=647137466847&ns=1&abbucket=10,61.0,999.0,浙江 杭州,0,,2211063866498,嘉礼悦旗舰店,"['天猫宝贝', '公益宝贝']",//detail.tmall.com/item.htm?id=647137466847&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2211063866498,True
